subject;predicate;behaviors
10;aluminum;look
10;large;grasp,hold
10;small;grasp,hold
10;soft;grasp
10;round;grasp
10;heavy;hold,lift,lower
10;squishy;grasp
10;orange-topped;look
10;blue;look
10;container;drop,grasp,hold,press
10;purple;look
10;tube;grasp,hold,press,push
10;red;look
10;can;grasp,hold,press
10;full;hold,lift,lower,push
10;water;drop,hold,lift,lower
10;cylindrical;grasp,hold
10;tub;press,push
10;colored;look
10;thing;drop,grasp,hold,lift,look,lower,press,push
10;beans;drop,hold
10;narrow;grasp
10;shiny;look
10;hollow;drop,grasp,hold,press
10;open;drop,grasp,hold,press
10;spraycan;grasp,press
10;silent;drop
10;top;press
10;spiky;grasp,look,press
10;tiny;drop,grasp
10;plastic;drop,grasp
10;white;look
10;empty;drop,lift,lower,push
10;wide;grasp,press
10;inside;drop,press
10;cap;drop,press
10;rectangular;grasp,look
10;thin;grasp
10;cylinder;grasp,look
10;lid;drop,press
10;metallic;drop,look
10;prism;grasp,look
10;green;look
10;roll;drop,grasp,push
10;circular;grasp,look
10;circles;look
10;pink;look
10;canister;grasp,press
10;styrofoam;grasp
10;medium-sized;grasp,look
10;tall;look,push
10;short;look,push
10;liquid;drop,hold,lift,lower
10;light;hold,lift,lower
10;clear;look
10;metal;drop,look
10;object;drop,grasp,hold,lift,look,lower,press,push
10;aerosol;grasp,press
10;bottle;grasp,press
10;pineapple;grasp
11;text;look
11;neon;look
11;yellow;look
11;bright;look
11;paper;grasp,lift,look
11;crayon;hold,lift
11;rough;grasp,look,press
11;pencil-shaped;hold,look
11;cup;grasp,hold,press
11;transparent;look
11;half-full;lift,look,push
11;black;look
11;orange;look
11;rectangle;drop,grasp,press
11;brown;look
11;coffee;hold,look,push
11;fat;grasp,press,push
11;chips;grasp,lift,press
11;silver;look
11;rattles;drop,hold,push
11;gray;look
11;aluminum;drop,hold,look,press
11;large;lift,look,push
11;small;lift,look,push
11;soft;drop,grasp,press
11;round;drop,grasp,push
11;heavy;drop,lift,lower,push
11;squishy;drop,grasp,press
11;orange-topped;look
11;blue;look
11;container;hold,press
11;purple;look
11;tube;grasp,push
11;red;look
11;can;drop,grasp,press,push
11;full;hold,lift,look,push
11;water;hold,press,push
11;cylindrical;grasp,push
11;tub;grasp,look,push
11;colored;look
11;thing;drop,hold,look,press,push
11;beans;grasp,press
11;narrow;grasp,look,press
11;shiny;drop,lift,look
11;hollow;drop,hold,lift,press
11;open;hold,look
11;spraycan;grasp,hold,lift,push
11;silent;drop,press,push
11;top;hold,look
11;spiky;hold,look,press,push
11;tiny;hold,look
11;plastic;drop,lift,press,push
11;white;look
11;empty;drop,hold,lift,press,push
11;wide;grasp,look,push
11;inside;hold,look
11;cap;drop,hold
11;rectangular;drop,grasp,look,press,push
11;thin;grasp,hold,press
11;cylinder;drop,grasp,hold,lift,push
11;lid;grasp,lift,look
11;metallic;drop,look,press
11;prism;look
11;green;look
11;roll;drop,press,push
11;circular;drop,grasp,hold,lift,look,push
11;circles;look
11;pink;look
11;canister;drop,hold,push
11;styrofoam;lift,press
11;medium-sized;grasp,hold,look
11;tall;grasp,hold,look
11;short;grasp,hold,look
11;liquid;hold,press
11;light;drop,hold,lift,look
11;clear;look
11;metal;look
11;object;drop,grasp,hold,lift,look,lower,press,push
11;aerosol;hold,lift,push
11;bottle;drop,hold,look,push
11;pineapple;hold,lift,look
12;text;look
12;neon;look
12;yellow;look
12;bright;look
12;paper;drop,grasp,hold,lift,look,lower
12;crayon;drop,hold,lift,look
12;rough;grasp,press
12;pencil-shaped;hold,look,press
12;cup;drop,grasp,hold,look
12;transparent;look
12;half-full;hold,lift,look,lower
12;black;look
12;orange;look
12;rectangle;grasp,look
12;brown;look
12;coffee;hold,look
12;fat;grasp,hold,look,press,push
12;chips;grasp,hold,lift,look
12;silver;look,lower,press
12;rattles;drop,hold,lift,look,lower,push
12;gray;look
12;aluminum;grasp,hold,look,lower,press
12;large;grasp,hold,look
